Odleglosc,Kierunek,Kategoria,dissimilarity,correlation,contrast,energy,homogeneity,ASM
5,0,concrete,5.904471544715447,0.017131767398603722,79.0020325203252,0.06779396059823532,0.1916779736244309,0.004596021093595083
5,0.7853981633974483,concrete,5.87656087408949,0.03983895845690783,77.80424037460978,0.06800266086787661,0.1882402425658083,0.004624361885111437
5,1.5707963267948966,concrete,5.732850609756097,0.07094795273317228,75.71646341463415,0.06806525250244766,0.19870845558982111,0.004632878598221958
5,2.356194490192345,concrete,5.93281737773153,0.008383372829509983,80.40602237252861,0.06777375439759993,0.1907345321707006,0.004593281785146196
1,0,concrete,4.69574311023622,0.5101433661394461,50.77780511811023,0.07046467157594298,0.22677814499082186,0.004965269940305507
1,0.7853981633974483,concrete,5.44745489490979,0.32918843748423054,69.49891499783001,0.06796890667849984,0.20893349824702168,0.00461977227507062
1,1.5707963267948966,concrete,4.893208661417322,0.4707748345943512,54.859744094488185,0.0699308794159645,0.22148903551234916,0.004890327895890167
1,2.356194490192345,concrete,5.468348936697874,0.31228687533678345,71.24366048732098,0.06813209960006673,0.2055376927667474,0.0046419829959134145
3,0,concrete,6.308937500000001,0.08328538660273432,95.2143125,0.06528309744872711,0.18318062468833357,0.0042618828125
3,0.7853981633974483,concrete,6.249055177626607,0.08344564804964283,94.57180650037793,0.06554752456367934,0.18889808226005245,0.0042964779764261465
3,1.5707963267948966,concrete,6.266375,0.0668996003534246,95.60649999999998,0.06549194845551627,0.18960224337251116,0.0042891953125
3,2.356194490192345,concrete,6.372134038800706,0.050494035910452345,97.96170319979845,0.06553348039497475,0.1887209609017501,0.004294637052678541
5,0,concrete,6.547573678861788,0.03300584474897497,100.61655233739839,0.0648601477391793,0.17762062778811816,0.004206838764748165
5,0.7853981633974483,concrete,6.495447450572321,0.019029083860940384,100.28511966701355,0.06480924161830982,0.18136636500926495,0.004200237799140463
5,1.5707963267948966,concrete,6.355564024390245,0.03360486795757017,98.35899390243902,0.06526313503872702,0.188621249758481,0.004259276795083119
5,2.356194490192345,concrete,6.5775884495317385,-0.0085331343177244,102.82134495317376,0.06472055188442558,0.18081521257302288,0.004188749836224624
1,0,concrete,4.276451771653543,0.486757475023511,41.18196358267716,0.07573020829658744,0.24180742177122408,0.005735064448644522
1,0.7853981633974483,concrete,4.79521359042718,0.3517413118341129,51.925227850455705,0.07362151199538375,0.224577540072102,0.005420127028486433
